Job Class,Percentage
Management,6.1,https://www.indeed.com/q-Management-jobs.html
Business and Financial operations,5,https://www.indeed.com/q-Financial-Operations-jobs.html
Computer and Mathematical,2.7,https://www.indeed.com/q-Computer-Mathematical-Occupations-jobs.html
Architecture and Engineering,1.7,https://www.indeed.com/q-Architectural-Engineer-jobs.html
"Life, Physical and Social Science",0.9,https://www.indeed.com/q-Social-Science-l-Long-Island,-NY-jobs.html
Community and Social Service,1.6,https://www.indeed.com/q-Community-Social-Services-jobs.html
Legal,0.8,https://www.indeed.com/q-Legal-l-New-York,-NY-jobs.html
"Education, training and library",6.1,https://www.indeed.com/q-Education-Librarian-jobs.html
"Arts, design, entertainment, sports and media",1.7,https://www.indeed.com/q-Media-Arts-l-New-York,-NY-jobs.html
Healthcare practioners and technical,5.5,https://www.indeed.com/q-Healthcare-Practitioners-Technical-Occupations-jobs.html
Healthcare support,2.8,https://www.indeed.com/q-Healthcare-Support-jobs.html
Protective service,2.3,https://www.indeed.com/q-Protective-Services-jobs.html
Food preparation and serving,8.3,https://www.indeed.com/q-Server-Food-Preparation-jobs.html
Building and grounds cleaning and maintenance,3.7,https://www.indeed.com/q-Building-Grounds-Maintenance-jobs.html
Personal care and service,4,https://www.indeed.com/q-Personal-Care-Services-jobs.html
Sales,10.2,https://www.indeed.com/jobs?q=Sales&l=
Office and administrative support,15.1,https://www.indeed.com/q-Office-Administrative-Support-jobs.html
"Farming, fishing and forestry",0.6,https://www.indeed.com/q-Agricultural-Forestry-jobs.html
Construction and extraction,4.3,https://www.indeed.com/q-Extraction-jobs.html
"Installation, maintenance and repair",3.8,https://www.indeed.com/q-Installation-Maintenance-Repair-jobs.html
Production,6.1,https://www.indeed.com/q-Production-jobs.html
Transportation and material moving,6.5,https://www.indeed.com/q-Material-Moving-jobs.html
Total,99.8